,CompetitionId,RewardQuantity,TotalTeams,TotalSubmissions,subs_per_team
count,36.0,33.0,36.0,36.0,36.0
mean,23938.083333333332,35090.90909090909,1336.9722222222222,24894.416666666668,18.075549781452658
std,7665.746723015872,35061.87712135115,896.3935196460827,20839.01368707262,7.912398869780464
min,10686.0,0.0,82.0,767.0,1.7352941176470589
25%,18554.75,10000.0,751.75,8584.5,13.036123763742857
50%,23846.5,25000.0,1187.5,18920.5,20.030006200228634
75%,29761.25,50000.0,1753.5,39087.25,23.168972440397212
max,37333.0,150000.0,3900.0,81524.0,33.674893617021276
