,CompetitionId,year,RewardQuantity,TotalTeams,TotalSubmissions,subs_per_team
count,66.0,66.0,59.0,66.0,66.0,66.0
mean,21666.045454545456,2020.3939393939395,27000.0,1037.6818181818182,19484.166666666668,15.37211719042129
std,8200.35558784696,1.1215207790357065,29544.239184069662,908.0910858937666,22026.632891593432,8.125878540456915
min,6799.0,2019.0,0.0,18.0,27.0,1.5
25%,14478.0,2019.0,0.0,303.75,2289.0,9.07897738303242
50%,20139.5,2020.0,25000.0,864.5,10435.0,14.936776883849724
75%,27612.25,2021.0,30000.0,1543.0,31542.5,21.33607829302323
max,37333.0,2022.0,150000.0,3900.0,101845.0,33.674893617021276
